File name,Title,Author,Publisher,Discipline,Year,Metadata Title,Metadata Author
s1.pdf,"A new algorithm in patients with elevated and/or rising prostate-specific antigen level, minor lower urinary tract symptoms, and negative multisite prostate biopsies",Koenraad van Renterghem;Gommert Van Koeveringe;Ruth Achten;Philip van Kerrebroeck,Springer,Medicine,2009,No,No
s2.pdf,"Complications of limb salvage surgery in childhood tumors and recommended solutions",H. Ozger;M. Bulbul;L. Eralp,Springer,Medicine,2009,No,No
s3.pdf,"The clinical diagnosis of osteoporosis: a position statement from the National Bone Health Alliance Working Group",E. S. Siris;R. Adler;J. Bilezikian;M. Bolognese;B. Dawson-Hughes;M. J. Favus;S. T. Harris;S. M. Jan de Beur;S. Khosla;N. E. Lane;R. Lindsay;A. D. Nana;E. S. Orwoll;K. Saag;S. Silverman;N. B. Watts,Springer,Medicine,2014,No,No
s4.pdf,"How to use biomarkers of infection or sepsis at the bedside: guide to clinicians",Pedro Póvoa;Luís Coelho;Felipe Dal-Pizzol;Ricard Ferrer;Angela Huttner;Andrew Conway Morris;Vandack Nobre;Paula Ramirez;Anahita Rouze;Jorge Salluh;Mervyn Singer;Daniel A. Sweeney;Antoni Torres;Grant Waterer;Andre C. Kalil,Springer,Medicine,2023,Yes,Yes
s5.pdf,"Interval probabilistic neural network",Piotr A. Kowalski;Piotr Kulczycki,Springer,Computer Science,2015,Yes,Yes
s6.pdf,"Black box modeling of PIDs implemented in PLCs without structural information: a support vector regression approach",Robert Salat;Michal Awtoniuk,Springer,Computer Science,2014,No,No
s7.pdf,"Testing Conformance to a Quasi-Non-Deterministic Stream X-Machine",R. M. Hierons;M. Harman,Springer,Computer Science,2000,No,No
s8.pdf,"Tertiary hash tree-based index structure for high dimensional multimedia data",Yoon-Sik Tak;Seungmin Rho;Eenjun Hwang;Hanku Lee,Springer,Computer Science,2010,No,No
s9.pdf,"New facets of mobile botnet: architecture and evaluation",Marios Anagnostopoulos;Georgios Kambourakis;Stefanos Gritzalis,Springer,Computer Science,2015,Yes,Yes
s10.pdf,"Convolutional neural networks for advanced adhesive joints application patterns",Kiro Scholtes;Florian Flaig;Marvin Kaufmann;Frank Guido Lehne;Till Vallée;Holger Fricke;Michael Müller,Springer,Computer Science,2025,Yes,Yes
s11.pdf,"Sampling and processing of biopsy samples for speciation studies of cytosolic metalloproteins",Christian Wolf;Ullrich Rösick;Peter Brätter,Springer,Chemistry,2001,Wrong,Wrong
s12.pdf,"Inhibition effect of pcDNA-tum-5 on the growth of S180 tumor",Yanjie You;Xiaochang Xue;Meng Li;Xin Qin;Cun Zhang;Weihua Wang;Changli Giang;Shouzhen Wu;Yan Liu;Wenhua Zhu;Yonggang Ran;Zhen Zhang;Wei Han;Yingqi Zhang,Springer,Chemistry,2007,No,No
s13.pdf,"High-Efficiency Broadband Solar Absorber Based on Graphene/YBCO/LaAlO₃/Ti for Enhanced Solar Thermal Performance Using Random Forest Regression",Jacob Wekalao,Springer,Chemistry,2025,Yes,Yes
s14.pdf,"A novel mode of WRKY1 regulating PR1-mediated immune balance to defend against powdery mildew in apple",Liming Lan;Lifang Cao;Lulu Zhang;Weihong Fu;Changguo Luo;Chao Wu;Xianqi Zeng;Shenchun Qu;Xinyi Yu;Wenyi Deng;Xu Xu;Binhua Cai;Sanhong Wang,Springer,Life sciences,2025,Yes,Yes
s15.pdf,"Pyrosequencing/Sanger Plant Genome Assembly (Limitations, Problems And Solutions) - On The Way To Cucumber (Cucumis sativus L. cv. Borszczagowski) Draft Genome Sequence Publishing",Rafal Woycicki;Zbigniew Przybecki,Springer,Life sciences,2010,Wrong,Wrong
s16.pdf,"The influence of Fusarium head blight on phenotypic distribution of barley doubled haploid population in respect of yield-related traits",M. Surma;Z. Kaczmarek;T. Adamski;J. Chełkowski;H. Wiśniewska,Springer,Life sciences,2000,No,No
s17.pdf,"Potential Welfare Criteria and the Choice of Large Projects",Atsushi Tsuneki,Springer,Economics,2000,No,No
s18.pdf,"Resting-State Oscillatory Activity in Autism Spectrum Disorders",Lauren Cornew;Timothy P. L. Roberts;Lisa Blaskey;J. Christopher Edgar,Springer,Psychology,2011,No,No
s19.pdf,"The effect of topological similarity of magnetic field dependencies before a strong earthquake accompanied by a tsunami",A E Volvach;L P Kogan;L N Volvach;I T Bubukin;V B Shtenberg,Springer,Earth sciences,2025,Yes,Yes
s20.pdf,"Assessment of trace metals contamination in stream sediments and soils in Abuja leather mining, southwestern Nigeria",Abiola Oyebamiji;Adegbola Odebunmi;Hu Ruizhong;Atta Rasool,Springer,Earth sciences,2017,Yes,Yes
d1.pdf, Palatine Tonsil Measurements and Echogenicity during Tonsillitis Using Ultrasonography: A Case-Contorl Study, Zohida A. Abdelgabar; Mahasin G. Hassan; Tasneem S. A. Elmahdi; Shanoo Sheikh and Wiree Leila T. Dator,-,Medicine,2023,Yes,Yes
d2.pdf, A SAFETY INDEX FOR TRAFFIC WITH LINEAR SPACING, Eiji Kometani and Tsuna Sasaki,-,Civil Engineering,1959,No,No
